content,publish_date
"이진숙 부른 최민희, 귓속말로 “저와 싸우려 하면 안된다”
조선일보
재생
7,144
00:00
00:53


더불어민주당 소속 최민희 과학기술정보방송통신위원장이 24일 국회 과학기술정보방송통신위원회에서 열린 인사청문회에서 이진숙 방통위원장 후보자에게 귓속말을 하고 있다. /뉴시스

더불어민주당 소속 최민희 과학기술정보방송통신위원회 위원장이 이진숙 방송통신위원장 후보자에 대한 인사청문회에서 이 후보자와 신경전을 벌였다.

24일 국회에서 열린 인사청문회에서 이 후보자는 청문회 증인 선서를 마치고 증서를 최 위원장에게 제출한 뒤 인사를 하지 않고 자리로 돌아갔다.

최 위원장은 “저기요 이진숙 내정자!”라고 이진숙 후보자를 부른 후 “제가 인사하려고 했는데 인사를 안 하고 돌아서서 가시니까 뻘쭘하지 않나”라고 말했다.

이 후보자가 인사를 하기 위해 다시 위원장석 쪽으로 오자 최 위원장은 이 후보자에게 가까이 오라고 손짓을 했다.

이 후보자가 가까이 오자 최 위원장은 귓속말로 “저와 싸우려 하시면 안 된다”고 속삭였다. 이후 두 사람은 서로 고개를 숙여 인사를 하고 악수를 했다.

최 위원장은 이진숙 후보자의 인사말 과정에서는 “후보자의 인사말을 들어야 할까. 후보자가 보낸 사전 자료 보지 않았나. 1∼2분 내로 간단히 해달라”고 요청했고, 이 후보자의 인사말이 2분을 넘기자 발언을 잠시 멈추게 한 뒤 “30초 더 드릴 테니 마무리해달라”고 재촉하기도 했다.

24일 오전 서울 여의도 국회 과학기술정보방송통신위원회에서 열린 이진숙 방송통신위원장 후보자 인사청문회에서 최민희 위원장이 이 후보자가 선서문을 제출할 때 인사를 하지 않고 가자 다시 불러 얘기하고 있다. /뉴스1

이에 이상휘 국민의힘 의원은 최 위원장에게 “인사말을 중간에 자르는 것은 좀 그렇다. 방통위 비전과 정책 목표를 충분히 말할 수 있도록 시간을 보장해주는 게 맞지 않나”라고 항의했다.

최 위원장은 “전임 김홍일 전 위원장 인사청문회 인사말은 2분밖에 안 됐고, 어제 (이 후보자의) 인사말을 미리 받아봤는데 10여 페이지로 굉장히 길었다. 그걸 굳이 여기서 읽어야 할 이유가 없다”고 했다.",2024.07.24. 오후 1:39
"배우 강경준. /스포츠조선DB

유부녀와 불륜 행위를 저질렀다는 의혹이 제기된 배우 강경준(41)이 상대방이 제기한 위자료 청구 소송에서 상대방의 청구를 받아들이는 청구인낙으로 소송을 종결했다고 밝혔다. 강경준이 사실상 불륜 의혹을 인정한 것이라는 분석이 나온다.

서울가정법원 가사5단독(김미호 판사)은 24일 불륜 상대로 지목된 유부녀 A씨의 남편인 B씨가 강경준을 상대로 제기한 위자료 청구 소송 첫 변론을 진행했다.

당초 서울중앙지방법원은 해당 사건을 조정에 회부했으나 B씨가 합의를 하지 않겠다는 입장을 고수하면서 지난 4월 사건이 서울가정법원으로 넘어갔다.

이날 강경준의 법률대리인 측은 “강경준님께서는 사실관계를 다투는 과정에서 상대방과 가족들, 그리고 이를 지켜보는 분들께 상처와 불편함을 주는 상황을 더 이상 견디기 힘들다는 의견을 주셨다”며 “이에 따라 저희 법률사무소는 강경준님의 의견을 존중하여 상대방의 청구를 받아들이는 청구인낙으로 이번 소송을 종결하게 되었음을 알려드린다”고 했다.

강경준은 이날 입장문을 통해 “불미스러운 일로 많은 분들께 심려를 끼쳐드린 점 사과드린다”며 “제가 아무런 입장을 밝히지 않았던 것은 행여 저의 말 한마디 혹은 행동이 상대방 당사자 분과 주변 사람들에게 큰 상처로 이어지지 않을까 하는 마음에서였다”고 했다.

강경준은 “사실과 다른 부분이 있거나 해명해야 할 부분 등에 대해 법적 절차를 진행하고 싶은 마음도 있었지만, 오해와 비난 또한 제 부덕함으로 인해 시작된 것이라고 생각했다. 그러한 사실도 감내하는 것이 제 몫이라는 결론에 이르렀다”며 “오해를 풀고자 소송에 적극적으로 대응하게 되면 당사자분께서 받을 마음의 상처는 더욱 깊어질 것이고, 저를 응원해주신 분들께 더 큰 불쾌감만 드리게 될 것이라고 생각했다”고 했다.

그러면서 강경준은 “이에 저는 해명을 하거나 사실과 다른 부분을 법적인 절차로 다투지 않고, 상대방 당사자분의 청구에 응하기로 결정했다”며 “다시 한번 저로 인해 불편을 겪으신 모든 분들께 사과의 말씀을 전한다”고 했다.

앞서 강경준은 작년 12월 B씨로부터 5000만원 상당의 민사소송을 당했다. B씨는 강경준이 자신의 아내와 부정행위를 저질러 사실상 가정을 파탄에 이르게 했다며 이에 따른 손해배상을 요구했다.

B씨에 따르면 강경준은 A씨와 ‘보고 싶다’ ‘안고 싶네’ ‘사랑해’ 등의 메시지를 주고받았다.

한편 강경준은 지난 2018년 동료 배우 장신영과 5년 열애 끝에 결혼했다. 슬하에 장신영이 첫 결혼에서 낳은 아들과 2019년 장신영과의 사이에서 낳은 둘째 아들을 두고 있다.

강경준은 최근 두 자녀와 함께 육아 관찰 예능프로그램인 ‘슈퍼맨이 돌아왔다’에 출연하기도 했다. 강경준은 여러 예능프로그램에서 장신영이 전 남편과의 사이에서 얻은 아들까지 챙기는 다정한 모습을 보여줬었다.",2024.07.24. 오후 1:16
"배우 강경준. /스포츠조선DB

유부녀와 불륜 행위를 저질렀다는 의혹이 제기된 배우 강경준(41)의 상간남 위자료 청구 소송 첫 재판이 열린다.

서울가정법원 가사5단독(김미호 판사)은 24일 오전 11시부터 불륜 상대로 지목된 유부녀 A씨의 남편인 B씨가 강경준을 상대로 제기한 위자료 청구 소송 첫 변론을 진행한다.

당초 서울중앙지방법원은 해당 사건을 조정에 회부했으나 B씨가 합의를 하지 않겠다는 입장을 고수하면서 지난 4월 사건이 서울가정법원으로 넘어갔다.

앞서 강경준은 작년 12월 B씨로부터 5000만원대 민사소송을 당했다. B씨는 강경준이 자신의 아내와 부정행위를 저질러 사실상 가정을 파탄에 이르게 했다며 이에 따른 손해배상을 요구했다.

B씨에 따르면 강경준은 A씨와 ‘보고 싶다’ ‘안고 싶네’ ‘사랑해’ 등의 메시지를 주고받았다.

당시 강경준의 소속사 측은 “사생활과 관련돼 답변할 수 있는 부분이 없다”며 “이번 일로 사회적 물의를 일으킨 점 사과드린다”고 했다. 강경준의 소속사는 불륜 의혹이 제기된 후 강경준과의 전속계약 연장 논의를 중단했다.

한편 강경준은 지난 2018년 동료 배우 장신영과 5년 열애 끝에 결혼했다. 슬하에 장신영이 첫 결혼에서 낳은 아들과 2019년 장신영과의 사이에서 낳은 둘째 아들을 두고 있다.

강경준은 최근 두 자녀와 함께 육아 관찰 예능프로그램인 ‘슈퍼맨이 돌아왔다’에 출연하기도 했다. 강경준은 여러 예능프로그램에서 장신영이 전 남편과의 사이에서 얻은 아들까지 챙기는 다정한 모습을 보여줬었다.",2024.07.24. 오전 11:13
"경찰 관련 이미지. /조선일보DB

전역을 앞두고 말년휴가를 나왔던 20대 군인이 전동킥보드를 타고 가다가 버스와 충돌해 사망했다.

24일 경찰에 따르면 지난 20일 새벽 5시 35분쯤 광주 남구의 한 도로에서 음주 상태로 전동킥보드를 타던 20대 군인 A씨가 버스에 치여 숨지고, 함께 타고 있던 B씨가 크게 다쳤다.

A씨는 머리를 크게 다쳐 병원으로 옮겨졌지만 하루 만에 숨졌다. B씨도 병원 치료를 받고 있지만 현재까지 의식 불명 상태인 것으로 알려졌다. A씨는 다음 달 전역을 앞두고 말년휴가를 나온 군인이었다.

A씨와 그의 지인 B씨는 전동킥보드 한 대에 함께 탑승하고 있었으며, 헬멧 등 안전 장비는 착용하지 않고 있었다.

광주 남부경찰서는 교통사고처리 특례법상 치사상 혐의로 전동킥보드를 친 60대 버스 기사를 불구속 입건했다.

경찰은 블랙박스 영상 등을 토대로 정확한 사고 원인을 조사 중이라고 밝혔다.",2024.07.24. 오전 10:05
"배우 조지 클루니. /AP 연합뉴스

조 바이든 미국 대통령의 민주당 대선 후보 사퇴를 공개 요구했던 할리우드 스타 조지 클루니가 카멀라 해리스 부통령을 지지하는 성명을 발표했다.

23일(현지시간) 미 CNN 등 보도에 따르면 클루니는 이날 발표한 성명에서 “우리 모두는 해리스 부통령의 역사적인 임무 수행을 지원하기 위해 무슨 일이든 할 수 있게 돼 매우 기쁘다”고 밝혔다.

바이든 대통령의 후보 사퇴에 대해서는 “바이든 대통령은 진정한 리더십이 무엇인지 보여줬다”며 “그는 다시 한번 민주주의를 구하고 있다”고 평가했다.

앞서 클루니는 뉴욕타임스에 기고한 칼럼에서 “우리는 바이든과 함께라면 11월(대선)에 승리하지 못할 것이고 상·하원 선거에서도 패배할 수 있다”며 바이든 대통령의 대선 후보 사퇴를 요구했다.

카멀라 해리스 부통령. /AP 연합뉴스

클루니의 기고문은 민주당에 큰 충격을 줬다. 클루니는 오랫동안 민주당을 지지해 온 인물이고, 지난 2020년 대선 때는 바이든 대통령에게 50만 달러(한화 약 7억원) 이상을 기부하기도 했기 때문이다. 할리우드 마당발로 알려진 클루니는 대선 때마다 각계 유명인사들을 총집합시켜서 민주당 후보의 당선을 위한 거액의 선거자금 모금 행사를 주최했다.

한편 바이든 대통령이 민주당 대선 후보에서 물러난 이후 리드 헤이스팅스 넷플릭스 창업자 겸 회장, 영화 ‘그레이 아나토미’로 유명한 작가 겸 프로듀서 숀다 라임스, 드라마 ‘로스트’를 연출한 데이먼 린들로프 등도 해리스 부통령을 지지하고 나섰다.

블룸버그 통신은 “해리스 부통령의 남편인 더글러스 엠호프가 과거 엔터테인먼트 분야 변호사로 활동한 이력이 있어 해리스와 할리우드 사이에 이미 유대관계가 있다”고 전했다.

조선일보 국제부가 픽한 글로벌 이슈! 뉴스레터 구독하기 ☞ https://page.stibee.com/subscriptions/275739

국제퀴즈 풀고 선물도 받으세요! ☞ https://www.chosun.com/members-event/?mec=n_quiz",2024.07.24. 오전 8:45
"지난 4월 중국에 반환된 자이언트판다 '푸바오'. / 연합뉴스

서울시는 중국으로 반환된 자이언트 판다 푸바오를 다시 데려와달라는 시민 민원에 대해 “관련 절차를 추진하고 있지 않다”고 밝혔다.

서울시는 23일 시민 제안 플랫폼 ‘상상대로 서울’를 통해 “서울시장과 쓰촨 정협주석 면담 시 우리나라 국민들의 푸바오의 빈자리에 대한 아쉬움을 달랠 방안에 대한 이야기가 있었으나, 판다 임대가 추진되고 있지는 않음을 말씀드린다”고 했다.

오세훈 서울시장은 지난 15일 중국 쓰촨성 톈 샹리 중국인민정치협상회의(정협) 주석과의 면담에서 중국 판다와 관련한 언급을 한 바 있다.

오세훈 시장은 “국민들의 공허하고 헛헛한 마음을 채워줄 무언가가 있으면 좋겠다”며 푸바오가 아닌 다른 판다라도 임대할 수 있기를 희망한다는 취지의 의사를 밝혔다.

이후 상상대로 서울에는 ‘푸바오를 꼭 데려와달라’ ‘푸바오 귀환 요구’ ‘푸바오를 다시 데려옵시다’ 등의 민원이 다수 접수됐다.

서울시는 이날 이 같은 민원에 일제히 같은 답변을 달아 판다 임대가 추진되고 있지 않다고 밝혔다.

한편 푸바오는 2016년 3월 시진핑 중국 국가주석이 한중 친선 도모의 상징으로 보내온 판다 러바오와 아이바오 사이에서 2020년 7월 20일 태어났다. 푸바오는 국내에서 머물다 지난 4월 중국으로 반환됐다.",2024.07.23. 오후 4:27
"유튜버 달씨. /달씨 소셜미디어

100만명이 넘는 구독자를 보유하고 있는 유명 유튜버 ‘달씨’가 전세 사기를 당한 집을 다른 세입자에게 넘겨 ‘폭탄 돌리기’를 하려고 했다는 의혹에 대해 재차 사과했다.

23일 달씨는 입장문을 통해 “지난 몇 주 동안 제가 얼마나 경솔한 행동을 했는지 깨닫게 되었고, 많이 반성했다”며 “전세 사기 사태의 심각성에 대해 제대로 느끼지 못하였고, 제가 겪었던 일을 ‘전세 사기’라고 잘못 표현했다”고 했다.

달씨는 “제 언행이 많은 분들께 전달된다는 사실을 잘 인지하지 못한 채 오직 영상의 재미만을 고려하여 ‘파랑새’와 같은 자극적인 단어를 경솔하게 언급한 점 너무나도 죄송스럽게 생각하고 있다”며 “다음 세입자가 겪을 수 있는 피해 가능성까지 고려하지 못한 점 역시 생각이 짧았다. 법적인 사항뿐만 아니라 도덕적으로도 깊이 판단하고 행동할 수 있는 사람이 되겠다”고 했다.

이어 “특히 이 시간에도 전세 사기로 고통받고 계시는 많은 분들에게 정말 너무나도 죄송한 마음뿐”이라며 “많은 분들의 질책과 지적에 크게 뉘우치며 어떤 방법으로 어떻게 말씀드려야 할 지 많이 고민했다. 책임감을 느끼며 좀 더 많이 공부하고 배우겠다. 다시는 이런 일이 반복되지 않도록 유의하겠다”고 했다.

달씨는 지난달 자신의 유튜브 채널에 올린 영상을 통해 자신이 전세 사기를 당했다며 다음 세입자를 구해 보증금을 받은 뒤 집을 나가기로 결정했다고 밝혔다.

달씨는 다음 세입자가 등장하자 세입자를 ‘나의 유일한 파랑새’라고 표현하며 “그분이 마음을 바꿀까 계약서를 쓰는 날까지 1분 1초가 고통이었다”고도 했다. 하지만 다음 세입자는 집주인의 국세 체납기록을 보고 결국 계약하지 않았고, 달씨는 은행 대출을 통해 해당 집을 매매했다고 밝혔다.

영상을 본 네티즌들은 전세 사기로 문제가 된 집을 다른 세입자에게 넘기려 한 것은 ‘폭탄 돌리기’라며 반발했다.

논란이 커지자 달씨는 해당 영상을 삭제하고 입장문을 통해 사과에 나섰다. 달씨 측은 달씨가 전세 사기를 당한 것이 아닌데 잘못 표현한 것이라고도 설명했다. 그럼에도 비판은 이어졌고 결국 구독자가 크게 줄었다.",2024.07.23. 오후 3:19
"유튜브 채널 '카라큘라 미디어'의 유튜버 카라큘라. /유튜브

프로농구 선수 허웅(31)의 전 여자친구 A씨가 유튜버 카라큘라(본명 이세욱)를 명예훼손 혐의로 고소했다.

A씨의 법률 대리를 맡고 있는 노종언 변호사는 23일 “유튜브 채널에서 A씨에 대한 허위 사실을 유포한 카라큘라를 정보통신망법상 명예훼손 혐의로 서울 서초경찰서에 고소했다”고 밝혔다.

앞서 허웅은 A씨를 협박 등 혐의로 경찰에 고소했다. A씨가 허웅과 교제하는 기간 두 번의 임신을 한 것을 빌미로 3억원을 요구했다는 주장이다.

카라큘라는 이후 A씨가 유흥업소 출신이며, 다른 남성과의 사이에서도 임신했다가 낙태한 이력이 있다는 등의 주장이 담긴 영상을 만들어 공개했다.

노종언 변호사는 조선닷컴과의 통화에서 “카라큘라 영상에 나온 주장은 모두 사실이 아니다”라며 “저희가 사실이 아니라고 밝혔음에도 카라큘라 측은 이후 아무런 조치를 취하지 않았다”고 했다.

A씨는 앞서 해당 영상에 제보자로 등장하는 인물도 명예훼손 혐의로 경찰에 고소했다. A씨가 허웅을 강간상해 혐의로 맞고소한 사건은 경기 용인서부경찰서로 이첩된 상태다.

한편 카라큘라는 유명 유튜버 쯔양을 협박한 의혹도 받고 있다. 카라큘라는 전날 모든 영상을 비공개 처리하고 활동을 중단했다.",2024.07.23. 오후 1:45
"경찰 관련 이미지. /조선일보DB

자신에게 이별을 통보했다는 이유로 헤어진 여자친구 집에 흉기를 들고 찾아간 고등학교 3학년 남학생에 대해 경찰이 구속영장을 신청했다.

23일 경기 용인서부경찰서는 살인예비 혐의로 고등학교 3학년 A군(18)에 대해 전날 구속영장을 신청했다고 밝혔다.

A군은 지난 21일 밤 과거 교제했던 B양 집에 흉기 두 자루를 들고 찾아가 초인종을 누르고 문을 열려고 한 혐의를 받고 있다.

A군은 문이 열리지 않자, B양 집 주변 동네를 배회하다 신고를 받고 출동한 경찰에 붙잡혔다.

A군은 경찰 조사에서 “내 욕을 한 것에 대해 사과를 받으러 갔다”는 취지로 진술한 것으로 알려졌다.

A군은 이번 사건 이전에도 헤어질 수 없다며 이별을 통보한 B양을 폭행했던 것으로 알려졌다. 이로 인해 B양은 이미 경찰의 보호 조치를 받고 있는 중이었다.

경찰은 A군 등을 상대로 자세한 사건 경위를 조사할 예정이라고 밝혔다.",2024.07.23. 오전 11:30
"다미르와 어머니. /한림대학교한강성심병원

심한 화상을 입었으나 현지에서 치료가 힘들었던 몽골의 2세 아동이 국내 의료진의 도움으로 건강을 되찾은 사연이 알려졌다.

23일 한림대학교한강성심병원에 따르면 성심병원은 지난 5월 심한 화상으로 현지 치료가 힘들었던 몽골 화상 환아 다미르를 한국으로 초청해 무료 수술을 지원했다. 다미르는 한국에서 2개월간 치료를 받은 후 건강을 되찾아 지난 15일 몽골로 돌아갔다.

다미르는 작년 마당에서 놀다 중심을 잃고 넘어져 우유가 펄펄 끓는 냄비에 빠졌다. 얼굴과 가슴, 양쪽 팔에 심각한 3도 열탕화상을 입은 다미르는 사고 직후 근처 종합병원 응급실로 이송돼 목숨을 구할 수 있었지만 치료는 쉽지 않았다.

수차례에 걸쳐 피부이식 수술을 받았지만 상처가 아무는 과정에서 허벅지, 입 주변 피부가 오그라들며 걷거나 먹는 것조차 힘들었다. 밤에는 극심한 고통으로 잠도 자지 못했다.

다미르는 몽골 수도 울란바토르의 화상전문병원으로 옮겨져 치료를 계속 받았지만 현지 의료기술과 장비의 한계로 상태가 호전되지 않았다.

다미르의 곁을 지키고자 가족들은 고향을 떠나 병원 근처에 자리를 잡았는데 아버지는 다니던 직장 대신 병원 근처에서 일을 구하면서 소득까지 줄었다. 다미르의 치료 기간이 길어지며 다미르 가족의 경제적인 어려움은 날로 커져갔다.

평소 몽골 중소기업청과 업무적으로 교류하던 동대문구의회는 이 같은 소식을 접하고 화상 전문 병원인 한림대한강성심병원에 치료를 부탁했다. 성심병원이 평소 해외 화상환자 초청수술을 지원하고 있었기 때문이다.

병원은 다미르를 초청하기로 했고, 기존에 치료비를 후원하던 사회복지법인 한림화상재단을 통해 치료비 전액을 지원받기로 했다.

그렇게 한국에 입국한 다미르는 곧바로 한림대한강성심병원에 입원해 치료를 받으면서 건강을 되찾을 수 있었다.

성형외과 이종욱 교수는 “수술이 시급했던 다미르가 한국에서 필요한 치료를 받을 수 있어 다행이다”라며 “몽골에 돌아가서도 건강하게 잘 성장했으면 좋겠다”고 말했다.

한편 한림대학교한강성심병원은 보건복지부 지정 화상전문병원이다. 지난 2009년부터 한림화상재단과 함께 해외 화상환자 대상 무료진료 및 초청수술을 지원하고 있다.",2024.07.23. 오전 10:22
"축구협 “그것이 감독으로서 능력과 경쟁력이 있다는 근거는 아닐 것”

홍명보 감독. /연합뉴스

대한축구협회가 축구 국가대표팀 감독을 선정하는 과정에서 외국인 감독 후보들에게는 PPT 등의 자료를 제출받은 반면, 홍명보 감독에게는 자료를 요구하지 않은 사실이 알려졌다. 이에 대해 축구협회는 “그것(자료)이 대표팀 감독으로서의 능력과 경쟁력이 있다는 근거는 아닐 것”이라며 특혜가 아니라고 주장했다.

축구협회는 22일 홈페이지를 통해 최근 논란이 된 홍명보 축구 국가대표팀 감독 선임 과정에 대해 설명했다.

앞서 최종 외국인 감독 후보 2명은 대면 면담으로 한국 대표팀에 대한 분석 등을 평가받은 반면, 홍명보 감독은 그러한 평가 과정 없이 프리패스로 선정됐다는 의혹이 불거졌었다.

이에 대해 축구협회는 “외국 감독들과는 유럽 면담 일정이 순조롭게 잡힌 반면, 홍명보 감독의 경우 면담 자체가 성사되지 못할 수도 있다는 판단이 있는 상황이었다”며 “이임생 기술총괄이사가 직접 면담해보니 외국 감독들과 잘 맞지 않는 부분이 있었다. 만약 홍명보 감독과 면담이 진행되지 않을 경우, 외국인 두 명 중 우선순위에 오른 감독과 계약협상을 마무리 지을 예정이었다”고 했다.

외국인 감독은 장문의 분석자료도 제시했는데 홍명보 감독은 면담으로 평가를 마무리한 것은 특혜라는 주장에 대해서는 “물론 자료를 잘 준비해오면 그 감독과 에이전트가 의욕 있고, 성의 있다고 볼 수 있겠지만 그것이 대표팀 감독으로서의 능력과 경쟁력이 있다는 근거는 아닐 것”이라고 했다.

축구협회는 한 감독은 표지 포함 22페이지의 자료와 대표팀 경기영상 16개, 다른 감독은 표지 포함 16페이지의 PPT자료를 제시했다고 밝혔다.

축구협회는 홍명보 감독을 비롯한 국내 감독의 경우 자료를 제출하지 않았다며 “국내 감독들의 경우 플레이 스타일이나 팀을 만들어가는 축구철학, 경력 등에 대해 대부분 위원들이 너무나 잘 알고 있기 때문”이라고 했다.

축구협회는 “또 한 나라의 대표팀을 이끄는 감독을 뽑으면서 모든 후보에게 일률적으로 똑같은 걸 묻고 요구하는 면담 방식을 적용하는 것이 최선은 아닐 것”이라며 “세부적 상황과 관점에서 최종 3명의 장단점이 평가된 것이지, 면담 방식이 특혜가 있는 것은 아니다”라고 주장했다.

대한축구협회 전경. /뉴스1

축구협회는 “협회는 감독 선임과 관련한 전 과정에서 규정을 준수하고자 했다”면서도 “규정에 없는 상황들(△국가대표 전력강화위원장이 잔여 역할이 조금밖에 남아있지 않은 상황에서 갑작스럽게 일방적으로 사퇴할 시 △전력강화위원들 중 일부가 동반 사퇴할 시 등)에서는 감독 선임이라는 궁극적 목표를 차질 없이 이룰 수 있는 것인가에 초점을 맞추고 절차를 진행했다”고 밝혔다.

그러면서 “이번 과정에서 아쉬웠던 부분은 첫째, 모든 상황에 대비한 규정이 미비했다는 점, 둘째, 전력강화위원회 참석 위원들에게 사전에 충분히 관련규정을 설명하지 못해 위원회의 역할과 한계에 대한 오해를 불러 일으켰다는 점들”이라며 “이에 대한 반성과 성찰을 통해 규정을 세밀히 보완하고 차기 전력강화위원회 출범 시에는 위원들에 대한 오리엔테이션을 철저히 시행하고자 한다. 협회의 세심하지 못한 업무 처리로 인해 오해를 불러일으킨 점에 대해 사과드린다”고 했다.

한편 축구협회는 위르겐 클린스만 전 감독과 결별한 뒤 5개월간 새 감독을 물색하다가 지난 7일 프로축구 울산 HD 홍명보 감독을 대표팀 사령탑으로 선임했다. 이 과정에서 다수의 외국인 감독이 한국 축구 대표팀 사령탑 자리를 원했음에도 뚜렷한 이유 없이 홍명보 감독에게 지휘봉을 맡겼다는 이유로 비판 여론에 시달렸다.

축구 국가대표 감독을 뽑는 대한축구협회 전력강화위원회에 위원으로 참여했던 전 축구 국가대표 박주호는 홍명보 감독 선임 과정에 문제가 있었다고 폭로하기도 했다. 이후 이영표, 박지성, 이동국, 이천수 등 홍명보 감독과 함께 선수 생활을 했던 축구계 인사들도 공개비판에 나서 논란이 커졌다.",2024.07.23. 오전 8:59
